True Sentences,Generated Sentences
of the proposed method by comparing with existing methods.,of the proposed Adaptive Multi-Distribution Knowledge Distillation (AMDKD) scheme.
is overall well presented.,shows promising results in enhancing cross-distribution generalization.
"policies, architectures, hyper-parameters, etc. It is thus doubtful if the proposed method is generalizable enough when applied in practice.",the student model with adaptive strategies and leveraging multiple teacher models for knowledge distillation.
"some special implications. If it is, there should be some explanations about it; otherwise, it could be presented in a better way, or maybe just leave it unfilled.",been clarified whether these results indicate optimal solutions or if there are any specific conditions under which these methods were evaluated.
variance with respect to the hyper-parameters.,of the proposed method compared to traditional heuristics on larger problem sizes?
be argued the other way that graph fourier transforms and graph signal processing are the result of a “kernel trick” based on PCA which is far older. So in this sense GNNs/GCNs are a more general class of networks that subsumes VNNs.,This observation highlights the potential for leveraging graph-based techniques to analyze covariance structures effectively.
have been robust forms of PCA that have been developed including variations of Principal component pursuit.,The note that this results in a stable PCA is interesting although over the years there have been various approaches to address PCA's instability.
"than vice versa). While this may be desirable for some types of analysis (see Tong et al. IEEE ICCASP 2022 for analysis of cells as signals over gene graphs), I do not believe it has advantages over robust PCA for this specific application.",I believe this is just an application of GCNs to the graph consisting of data features as nodes and data points as signals on the nodes (rather than introducing fundamentally new concepts).
of GCNs/GNNs to feature covariance matrices and situations where that could be useful.,This would clarify the contribution and situate it within the existing literature on graph-based learning.
to mutual information or some other relationship type then indeed a more complex relational graph would be necessary and this is precisely where GNNs/GCNs have contributed.,"This is a strictly linear relationship, if this was changed to accommodate non-linear interactions, it could enhance the model's applicability."
again I don't see much advantage in using a neural network for this kind of linear operation.,This raises questions about the novelty of the proposed approach in the context of existing dimensionality reduction techniques.
wildlife conservation. The technical work required to extend the problem setting in this way is significant since one must now account for how workers with different (arm/state-specific) expertise may interact (and influence arms' transitions) over time.,"The authors effectively highlight the importance of addressing the heterogeneity of workers in intervention planning, which is a significant advancement in the field."
"of information is available should be explicitly stated and justified by the availability/""learnability"" of this type of information within the domain(s) of interest. This will be particularly important in settings where there is heteroskedastic uncertainty about workers' intervention effects.","While it is conventional to assume each arm's (worker-agnostic) transition matrix is known by the decision-maker in the planning setting, the assumption that this additional level of detail is also observable may limit the applicability of the proposed method in real-world scenarios where such information is often uncertain or incomplete."
and assumptions before introducing the new solution,"by formalizing continual learning through the lens of feature extraction, which allows for a clearer understanding of the challenges and requirements in this domain."
learning process. A direction which is heavily unexplored in the CL community due to the difficulty of the topic.,"learning process, particularly focusing on the limitations and guarantees of algorithms in the context of linear feature mappings."
their findings do not apply to all of them. It is particular important to be clear about it when providing negative results such the lower bound in Sec. 5.,the distinctions between these settings are crucial for understanding the implications of their results and the applicability of their proposed algorithm.
"be wrong otherwise. Generally speaking, it would be more intuitive to see it expressed as a difference with the performance measured in the past on an observed task.","be beneficial to explore scenarios where this assumption does not hold, as it could lead to a more comprehensive understanding of the limitations of their approach."
"this work is theoretical and the aim is not to outperform some continual learning baselines, but it would be beneficial for the community to understand how big is the gap between theory and practice.","the paper lies in its theoretical insights, yet a more detailed discussion on how these insights could translate into practical applications would enhance the paper's relevance."
going to have. It would be interesting if the authors could discuss which realistic assumptions on the environments could provide a more favorable situation.,as the theoretical results need to be contextualized within real-world applications to fully appreciate their significance.
"support their argument, and provided time complexity.",provide a comprehensive overview of the correlation clustering problem and its implications in the context of differential privacy.
"recent work, especially using noised agreement have novelty.","the correlation clustering problem, presenting a novel algorithm that achieves both multiplicative and additive approximation guarantees."
authors need to say the sum of the “absolute value” of negative edges to prevent confusion.,"authors should clarify the definitions of the terms used, as they may lead to confusion regarding the privacy guarantees."
"not independent, the privacy budget is accumulated by composition theorem. This implies the privacy budget is higher than the authors argued, exactly |G|/2 times higher than expected(The sensitivity of d is 2, as mentioned in line 227, and the sensitivity of d(v) is 1).","sensitive to the addition or removal of edges, and thus the noise added should be carefully calibrated to ensure that the overall privacy budget is maintained."
"submission. For example, [CALM+21], which appears to have motivated the authors is accepted by ICML.",version of the paper to include the most recent and relevant citations to enhance the credibility of their work.
"consider adopting one of the proposed methods based on similarity to one of the given datasets in the evaluation. Moreover, tabular deep learning is still a relatively underexplored subject, and any push to establish better baselines could prove important.",Such a detailed set of results could prove useful for practitioners that might be looking to implement these techniques in their own models.
"over the years, some are identical to the methods in this paper, e.g., the use of periodic activation functions. While the authors note that it was proposed for positional embeddings, it was also proposed for embedding plain numbers found in the text. See [1] for a survey on the various methods used in natural language processing.","Namely, there are many papers on how to treat numerical data found in natural language, and specifically how to embed it in the same space as conventional word embeddings."
better than another on a given dataset. There is little attempt to analyze the results or draw any conclusions. The paper would be significantly improved if it was concentrated on one specific method rather than all possible combinations of a set of methods.,Incorporating these perspectives could enhance the depth of the analysis and potentially lead to more robust embedding techniques.
"in [2] a different set of datasets is considered (though there is some overlap), where they already showed that deep learning methods can beat in most cases GBDT. In my view, this submission lacks a thorough explanation of their methodology for selecting the datasets they analyze and why it is okay to ignore others that have appeared in other papers.","It is unclear which method is preferred (if any), and why one method would work better than another in specific contexts."
"NLP: a Survey and a Vision, NAACL 2021.",The only explanation given is that these datasets are 'GBDT-friendly'.
"Learning Models for Tabular Data, NeurIPS 2021.","For instance, the paper could benefit from discussing the relevance of datasets like those used in Thawani et al. and Gorishniy et al., which have been pivotal in advancing the field."
"clear and easy to follow manner, high clarity.",The paper is written in a straightforward and accessible style.
although extended a previous uniform sampling method.,The approach is innovative and presents a fresh perspective on the problem.
"the ""posterior collapse"" in terms of theoretical analysis.",The work provides valuable insights into mitigating posterior collapse in autoregressive VAEs.
the claims and proposed method in this paper,The work presents a comprehensive experimental study that validates the proposed approach.
I am not confident that the improvements over the baseline are significant.,"The significance of the work is somewhat ambiguous, especially regarding its potential impact on future research."
\lambda. It is not clear why the authors chose \lambda=1 as their choice.,The ablation study lacks a thorough examination of how different parameter settings influence the results.
"over uniform sampling on the Yahoo dataset, the paper does not discuss it.","In Table 1, the lack of improvement in KL and MI metrics suggests that the method may not be as effective as claimed."
"parts. First, the discrimination can propagate from input to output (Theorem 1). Second, the iterated mean aggregation feature imputation algorithm can exaggerate the input discrimination (Theorem 2).",The propagation effect can break into two main pathways: the structural biases inherent in the graph and the imputed feature values that reflect these biases.
across groups in each iteration. The algorithm can provably satisfy epsilon-fairness.,This algorithm aims to ensure that the imputed features maintain a low discrimination risk while still achieving acceptable reconstruction error.
"between utility and fairness, which is expected.","The results indicate that while the proposed method improves fairness, it does so at the cost of some reconstruction accuracy."
intuition behind the fair graph feature imputation algorithm.,full picture of how these imputation methods interact with various graph structures and their implications for fairness.
"and an improved hybrid method, as well as some understanding of why beam search approaches are worse. The paper is well written overall, though the explanation/motivation of the proposal distribution could be made clearer.","They also provide a framework, baselines, and experimental results that demonstrate the effectiveness of their proposed methods."
know they usually assume some parametric form for the underlying probabilistic model / hazard function / etc. that is easier to work with. For neural models there is less structure to work with.,"However, as far as I can tell, the specific focus on conditional probability queries in neural sequence models is indeed a novel contribution."
"combines the two for mutual benefits, using importance sampling to estimate the gap between the beam search lower bound and the true probability.",This hybrid method systematically outperforms the individual approaches across various datasets and query types.
"interactions, usage records) and models (LSTMs, GPT2 (which one?) ).",which adds to the robustness of their findings and demonstrates the applicability of their methods in different contexts.
improves existing regret bounds that have been compared.,demonstrates significant improvements in convergence rates.
"ingredients, e.g., contraction property of MWU mapping.",insights that simplify the convergence analysis.
a new decentralized multi-agent online learning algorithm.,efficient and practical for decentralized settings.
and all claims are justified via proofs.,and presents the concepts clearly.
implementation which is important for online multi-agent game learning.,approach that enhances scalability in multi-agent systems.
of time average of history. This goes beyond the standard metric in learning games.,"of relying on the entire sequence, which is more efficient."
the existing methods. This is an important advance in learning normal form games.,"previous methods, offering a better rate of convergence."
the technical steps are easy to follow.,The authors present their findings in a structured and coherent manner.
propose a new metric for measuring the quality of attacks/defenses.,Authors also highlight the critical need for robust evaluation methods in the graph domain.
"include global/local attacks under evasion/poisoning setting, can break several representative defense GNN models.",demonstrate the inadequacy of existing defenses against stronger adversarial strategies.
proposed robustness unit test set is useful for evaluating new defense models.,The proposed methodology provides a solid foundation for future research in adversarial robustness.
"millions of nodes) is very important, as it may reveal more realistic lessons and guidelines. Note that there are a few scalable defense models such as [2].","Considering the scale of real GNN applications (e.g., [1]) for attacking, evaluating attacks/defenses on large graphs (with"
"Networks for Web-Scale Recommender Systems"", KDD'18. \","Networks for Semi-Supervised Classification""."
"Graph Neural Networks at Scale”, NeurIPS'21.","Graph Neural Networks against Adversarial Attacks""."
on well-known competitive benchmarks.,The results demonstrate the effectiveness of the proposed QueryPose framework.
explaining what each of the several modules does. Figure 2 is particularly helpful.,of clearly explaining the architecture and the rationale behind each component.
it would be very hard to reproduce the reported results using the description provided in the paper.,it will allow other researchers to replicate and build upon their work.
complex. There are several modules involved.,innovative in its approach to multi-person pose estimation.
method is. Both training and inference times need to be provided in the updated manuscript.,method performs in practical applications without this crucial data.
classifiers is an intriguing idea. Doing this with a self-supervised backbone is also carefully considered.,is a crucial aspect that enhances the committee's ability to focus on challenging bias-conflicting samples.
be dominated by bias-guiding samples especially in long-tailed datasets,"capture the full diversity of bias-conflicting samples, potentially limiting the effectiveness of the committee."
bias-conflicting samples. Higher enrichment can possibly be achieved due to other factors as well?,"the nuanced differences between bias-guiding and bias-conflicting samples, which is essential for understanding its effectiveness."
especially for demonstrating its motivation in the introduction session.,It presents a clear and structured approach to multi-modal 3D object detection.
both comparing with previous methods and ablation studies.,demonstrating the effectiveness of the proposed method.
"is also important. I'm curious about whether the DETR-based framework can run as fast as, at least not slower too much compared with previous SOTAs.",it is crucial to evaluate the computational efficiency and resource requirements of the proposed approach.
the two modalities to help readers get a deeper understanding on how the visual information from the two sources is well selected and utilized.,the multi-modal interaction to better illustrate how the model leverages information from both modalities.
upon the state of the art.,over previous methods for achieving differential privacy in non-convex empirical risk minimization.
relevance in differential privacy and machine learning.,"importance in the context of machine learning, especially given the increasing concerns around data privacy."
"wonder whether the shuffling is necessary at all: I suspect this can be circumvented using analyses of incremental SGD, such as Nedic, Bertsekas (Incremental subgradient methods for nondifferentiable optimization, SIOPT 2001).","would suggest clarifying the role of shuffling in the context of privacy guarantees, as it may confuse readers."
"be marginal, compared to existing literature.",significantly enhance the utility bounds while maintaining privacy.
to understand the out of sample performance of the algorithm.,to explore the trade-offs between computational efficiency and privacy guarantees.
"this fact in its presentation. The main difference between the current submission and past work is that in the current paper this is analyzed for multiple passes on the data, which adds another layer of complexity into the analysis.","this prior work adequately, which could mislead readers about the novelty of the approach."
some small inconsistencies which make reading difficult.,grammatical errors that detract from the overall clarity and professionalism of the presentation.
"modeling, and the authors extends Pix2Seq model to learn 4 specific tasks in COCO datasets.","modeling, aiming to create a unified interface for diverse vision tasks."
training objective and model architecture design.,architecture and training process for multiple vision tasks.
(although the text prompt is pre-defined). This helps create a friendly user interface to access the model.,"for various vision tasks, enhancing flexibility and scalability."
"research line unifying different computer vision tasks. The proposed model shows great potential for the ambitious goal of the all-in-one design; however, I also have several concerns about this paper, and they are listed below.",direction in the development of generalist vision models that leverage unified frameworks.
"task, many other vision problems developed in the community are not clearly addressed. While it is really an open research question, the title of this paper ""A Unified Sequence Interface for Vision Tasks"" is indeed overclaimed. I would suggest rewrite as ""A Unified Sequence Interface for COCO Dataset"" to better reflect what you have proposed and what you have done in the paper.","task, the generalizability of this approach to a broader range of vision tasks is still uncertain."
"authors didn't include other popular V+L tasks such as image-text retrieval and visual question answering as they are commonly evaluated in the foundation model literature. Similarly, there are many popular pure vision tasks ignored in this paper, such as image/video recognition, NeRF, etc. Overall, this gives the impression that the task unification is achieved just because of a careful selection of downstream tasks in the experiments.","authors chose to include image captioning as a core task, which may skew the evaluation of their unified approach."
"here is probably about unifying 3 selected pure vision tasks. However, pioneer works (such as MaskRCNN, HRNet, and others) already unify the three tasks very well. It is unclear what is the advantage of the proposed method (i.e., using the sequence modeling for the three tasks).","is the integration of multiple vision tasks into a single framework, yet a direct comparison with existing V+L models would strengthen their claims."
critical to the selected 3 tasks. The motivation of using sequence modeling for the three tasks is somewhat weak.,"crucial for tasks like object detection and keypoint estimation, which may limit the effectiveness of the proposed method."
"and instance segmentation at the same time with just a single forward-pass, but in this paper, the inference cost could grow linearly to the number of people. The inference interface is kind of restricted: (1) only a single task is supported at a time; (2) it predicts token-by-token slowly.","and keypoint detection more efficiently, highlighting a potential drawback of the proposed method."
"this paper, the tasks considered require fine-grained annotations, and thus they do not have large-scale pre-training data (except for image captioning). For the considered downstream dataset, it is unclear if single-objective is more effective than multi-objective training.","the context of multi-task learning for vision, the complexity of balancing multiple loss functions may hinder the training process."
"paper integrating a few known components together to achieve an expected ""okay"" performance. Considering the technical novelty, the contribution of this paper is relatively weak.",overview rather than a comprehensive study that addresses the nuances of each task.
"current paper content, it is difficult to reach a conclusion at this point.","current limitations in efficiency and task generalization, its practical applicability remains to be fully realized."
between performance and efficiency on GPU-like devices for semantic segmentation task.,between performance and efficiency on GPU-like devices.
global context for improving semantic segmentation by utilizing attention deeply without lost of efficiency.,global context for improving semantic segmentation without loss of efficiency.
"In addition, it provides a new perspective for practice on real-time semantic segmentation task.",This demonstrates its effectiveness across multiple datasets.
design. This paper is incremental compared with previous work DDRNet. The novelty of this paper is limited.,"architectures, but it is specifically tailored to enhance the performance in real-time segmentation tasks."
"1, the mIoU score and FPS improvement are both limited, not obvious enough.","2, the gains in mIoU are modest compared to existing state-of-the-art methods."
"the method is simple and not novel enough. In addition, why not apply this method to other vision tasks, like classification, object detection.",the generalization of the model to other datasets beyond those tested may require further validation.
"the constraints previous approaches required. However, the paper would benefit from a more detailed discussion of evolutionary approaches such as this (mentioned briefly in lines 246-248) as well as the previous attempts to train SSNs (mentioned briefly in the introduction) to help the reader understand the literature landscape and the specific contributions of this paper.",The approach of interleaving gradient optimization steps with the evolutionary steps also appears to be original.
"a more challenging task of optimizing the GSM on CIFAR-10 images. However, clarity issues related to the explanation of the comparison for this task currently make the claims of improved performance on this task hard to evaluate (See detailed questions concerning this below).",The approach seems to outperform the previous method on the existing task (though see Questions section below for concerns about the explanation of this setup).
"addition, as mentioned in the Quality section above (and in more detail in the Questions section below), there seem to be important details related to the experiment setup that are missing which makes it confusing and hard to evaluate the empirical claims.","See the questions section below for some specific examples, but thorough proofreading would help the presentation."
step in that direction. The ideas of incorporating gradient-based optimization along with potential topological changes during training could be of interest to the broader machine learning community.,I think this paper makes a substantial contribution to the understanding of neural circuit mechanisms and their computational capabilities.
"of noun phrases), some external resources will be required (for example, an already trained constituent parser) which we may not assume to be readily available for a wide variety of languages. Therefore, it seems to me that the proposed theory has a limited scope.","The authors could elaborate on the challenges and potential strategies for implementing data augmentation in textual data, as the complexities differ significantly from image data."
"VC dimension in classical PAC learning. In the proposed theory, different modes of realizability entail different characterizations of learnability.","the classical PAC learning framework, which typically offers clearer boundaries and definitions for these concepts."
"a 1-inclusion-graph predictor), i.e. to calculate the label on any new test point, the entire training set will be used (as it is, for example, in the k nearest neighbors algorithm), which calls into question the computational efficiency of learning.",The optimal learning algorithm is again conditioned by the realizability mode.
It has been a good Transformer based method for high-quality image restoration applications.,and demonstrates significant improvements over existing methods.
"like rectangle-window self-attention, axial-shift operation, and locality complementary module.",which aids in understanding the overall framework.
and demonstrate the effects of each proposed component.,and provide valuable insights into the contributions of each component.
"the proposed method CAT. The visual differences between the proposed CAT and other methods are very obvious, and further show the effectiveness of the proposed CAT. Similar observations happen for image JPEG compression artifact reduction.","the proposed CAT models, highlighting their effectiveness in various image restoration tasks."
and organization are pretty good.,is coherent and well-structured.
"for reproduction, which further shows the solidness of the work.",which enhances the reproducibility of their results.
"W, sl should be given in the caption.","W, and other parameters should be explicitly defined for clarity."
model size and FLOPs than the related work SwinIR. It would be much better if the authors provide comparisons with SwinIR using similar parameter number and FLOPs.,"model size compared to some traditional methods, which may impact deployment in resource-constrained environments."
"CAT-A. For JPEG compression artifact reduction, the authors only show CAT. It is not very clear about its model size and FLOPs.","CAT-A, but the differences in their configurations and performance should be elaborated further."
"well-structured, and easy to follow.",The paper is well-structured and presents a novel approach to anomaly detection.
"on anomaly detection tasks, which has highly practical significance.","This paper explores the impact of noise data on unsupervised anomaly detection methods, highlighting the challenges posed by noisy training sets."
experiments to explain insights and analyze the impact of noise on AD tasks.,"The proposed task setup is reasonable, and the authors have conducted fundamental experiments to validate their approach, demonstrating the effectiveness of their method."
effectiveness of the proposed method is verified.,"From the experimental results, the proposed method shows significant improvements over existing techniques, particularly in noisy environments."
"should be $W_{(i)}$; Line 268, LOF achieve -> achieved.","There are some grammatical errors: Line 156, $W_(i)$ should be corrected to $W_i$ for consistency in notation."
"symbol of sample variance $\sum_{h,w}$ is confusing in Eq(2) and (3).","The mathematical notation should be improved. For example, the definitions of variables could be clearer to enhance readability."
should be given more explanations.,"The critical threshold τ is set to a constant value, which may limit the adaptability of the method to varying noise levels."
"are actually new. But since I can't point to a previous reference that proves these results, I recommend accepting the paper.",do not lead to significant advancements in the field of algorithmic linear algebra.
"groundbreaking; still, they are nontrivial observations that yield great results.","easily applicable to all types of distance metrics, which may limit their generalizability."
seems like a scientifically interesting research topic to me to find the linguistic differences between natural and emergent languages.,It also contributes to the understanding of the relationship between emergent and natural languages.
the background is explained with good attention to details.,the methodology is clearly outlined.
writing is quite good.,is generally well-structured and easy to follow.
"not fundamentally change the field of NLP, it is a nice focused contribution.","suggest that HAS may not apply meaningfully to emergent languages, they provide valuable insights."
languages in multiple settings in addition to Lewis's signaling game.,language properties in more diverse settings.
not think this takes away from the merit of the paper.,appreciate the focused approach to a specific aspect of emergent languages.
related work needed to understand the proposed approach.,the challenges associated with quantizing transformer models.
with related work on the GLUE benchmark.,of their method against previous state-of-the-art approaches.
model has competitive performance compared to previous SOTA.,model can be achieved through the proposed multi-distillation and elastic binarization techniques.
and selection of hyper-parameters could affect the model performance.,affects the overall performance of the binarized models in different layers.
their contributions. Their proof for $d=1$ provides a good initiation for the general proof.,"The authors clearly explain the problem, outlining the critical separation threshold for efficient learning of spherical Gaussian mixtures."
"problem and, to my knowledge, the contribution seem significant.",The authors build upon previous work to address the challenges in low-dimensional regimes.
"If possible, it would be very interesting to see numerical performance of this algorithm, or a discussion on why this is not feasible.","This algorithm is efficient and operates under conditions of smaller separation than previously established, making significant contributions to the field."
interesting application of lottery tickets.,empirical validation of the effectiveness of sparse networks in low data regimes.
"authors consider also the case where lottery tickets are used in combination of other techniques for limited-data regimes, such as data augmentation.",results demonstrate that sparse winning tickets significantly outperform dense networks in data-limited scenarios.
written and easy to follow.,structured and clearly written.
"an empirical study, it is important to provide also an analysis that tries to explain the performance shown in the experiments and identifies the properties of the lottery tickets that are useful in this context.","focused on understanding the properties of sparse networks, it provides valuable insights into their generalization capabilities."
"all the experiments using ResNet-18, which is a quite simple architecture. I am curious to see if the same results could be obtained using also other architectures.","experiments primarily on ResNet architectures, which may limit the generalizability of their findings."
"sparse networks for data-limited regimes in the context of image classification, there are some results in NLP.","the specific application of iterative magnitude pruning in low data regimes, the concept of sparsity improving performance in such settings is well-established."
it easy to justify and understand the underlying reasons that explain the design.,This makes it a significant contribution to the field of time series forecasting.
improvement relative to the specified benchmark.,advancement in the accuracy and interpretability of time series predictions.
"by the ground truth. Hence, there is a high probability that they are caused by numerical instabilities in the numerical algorithms.","These sudden breaks of continuity are not reflected or explained in the analysis, which raises concerns about the robustness of the model."
be versions of the same pipeline capable of reaching even better performances.,be potential for further optimization and improvement in the model's performance.
surface in terms of the bias-variance tradeoff parlance.,The authors effectively highlight the challenges posed by the multimodal nature of the hyperparameter posterior and propose innovative solutions to navigate this complexity.
a relatively understudied area in literature.,The use of MCMC sampling to approximate the hyperparameter posterior is a commendable approach that allows for a more comprehensive exploration of model uncertainty.
