True Sentences,Generated Sentences
verify the effectiveness of the proposed method by comparing with existing methods.,The experiments conducted on TSP and CVRP datasets demonstrate the effectiveness of the proposed AMDKD method.
"has quite a few task-specific designs, e.g., training policies, architectures, hyper-parameters, etc. It is thus doubtful if the proposed method is generalizable enough when applied in practice.",is well-structured and effectively utilizes knowledge distillation to enhance cross-distribution generalization.
"result numbers are 0.00%. I am not sure if it has some special implications. If it is, there should be some explanations about it; otherwise, it could be presented in a better way, or maybe just leave it unfilled.","results indicate that these traditional solvers achieve optimal solutions, highlighting the competitive performance of the proposed method against established benchmarks."
values have specific properties in terms of describing the heterogeneity in the data. In fact it can be argued the other way that graph fourier transforms and graph signal processing are the result of a “kernel trick” based on PCA which is far older. So in this sense GNNs/GCNs are a more general class of networks that subsumes VNNs.,This connection is well-established and provides a solid foundation for their work.
is interesting although over the years there have been robust forms of PCA that have been developed including variations of Principal component pursuit.,"However, the stability they claim is primarily a consequence of the inherent properties of covariance matrices rather than a novel aspect of their proposed architecture."
"the graph consisting of data features as nodes and data points as signals on the nodes (rather than vice versa). While this may be desirable for some types of analysis (see Tong et al. IEEE ICCASP 2022 for analysis of cells as signals over gene graphs), I do not believe it has advantages over robust PCA for this specific application.",It appears to be an adaptation of existing graph convolutional networks (GCNs) rather than a fundamentally new architecture.
simply talk about an application of GCNs/GNNs to feature covariance matrices and situations where that could be useful.,A clearer distinction between the proposed method and existing GCNs would enhance the paper's impact.
"This is a strictly linear relationship, if this was changed to mutual information or some other relationship type then indeed a more complex relational graph would be necessary and this is precisely where GNNs/GCNs have contributed.",The authors could elaborate on how their method captures these relationships more effectively than traditional methods.
to low-rank approximations done via SVD and again I don't see much advantage in using a neural network for this kind of linear operation.,The novelty of the covariance filter needs to be better articulated to justify its introduction in the context of GNNs.
"assume full-support, which is a strong assumption in real-world applications. This paper takes a close look on the problem and discusses new efficient estimators, that based on mild assumptions, such as full-support not in the combinatorial action spaces, but in the feature space, which also shows better empirical performance.","Most prior works have primarily focused on scenarios where the full support assumption holds, making this study particularly relevant."
